iter	Logloss
0	0.1618281222
1	0.04210754534
2	0.01658341762
3	0.008488745815
4	0.00563973999
5	0.004570990601
6	0.003310392064
7	0.002834880436
8	0.002492254878
9	0.002297960205
10	0.002135753653
11	0.001967961382
12	0.00172752921
13	0.001585203923
14	0.001466545356
15	0.001381500211
16	0.001280058921
17	0.001229903793
18	0.001189889287
19	0.001162797448
20	0.001019150554
21	0.0009224479348
22	0.0008639626639
23	0.0008390270996
24	0.00078261946
25	0.000740108648
26	0.0006998283659
27	0.0006672047097
28	0.0006430484663
29	0.0006273157665
30	0.0006063673401
31	0.000591970896
32	0.000583011431
33	0.000560780983
34	0.0005465055793
35	0.0005388105283
36	0.000523532802
37	0.0005022464044
38	0.0004870229394
39	0.0004706583949
40	0.0004565939604
41	0.00044561609
42	0.0004338890348
43	0.0004261194011
44	0.0004203249223
45	0.0004049162837
46	0.0003983752796
47	0.0003946609197
48	0.0003894044222
49	0.0003866567993
50	0.0003803928675
51	0.0003639224652
52	0.000357666596
53	0.0003501860373
54	0.000342623133
55	0.0003394592639
56	0.0003357521057
57	0.0003301552664
58	0.0003250419889
59	0.0003213805171
60	0.0003201061685
61	0.0003187871443
62	0.0003161055429
63	0.0003122947993
64	0.0003054178701
65	0.0002984129361
66	0.0002936427607
67	0.0002913706507
68	0.0002906589181
69	0.0002874760628
70	0.000280778626
71	0.0002755928285
72	0.0002686775426
73	0.0002637408202
74	0.0002584960774
75	0.0002550273568
76	0.0002494141797
77	0.0002488593973
78	0.0002460166086
79	0.0002418492481
80	0.0002398030281
81	0.0002354335049
82	0.0002325273732
83	0.0002304699898
84	0.0002290097945
85	0.0002268824087
86	0.00022417799
87	0.000222467853
88	0.0002195594188
89	0.0002133062758
90	0.0002106893975
91	0.0002084382711
92	0.0002064349815
93	0.0002045907647
94	0.0002025532927
95	0.0001991987051
96	0.0001945086711
97	0.0001921432345
98	0.0001913288607
99	0.0001876702363
100	0.0001861508737
101	0.0001861481476
102	0.0001861468928
103	0.0001861453506
104	0.0001861426217
105	0.0001861419351
106	0.0001861412757
107	0.0001861406326
108	0.0001861379174
109	0.00018613507
110	0.0001861336095
111	0.0001861329842
112	0.000186130209
113	0.0001861296844
114	0.0001861289896
115	0.0001861276613
116	0.0001861276613
117	0.0001861276613
118	0.0001861272676
119	0.0001861272676
120	0.0001861035075
121	0.0001861030442
122	0.0001861023167
123	0.0001861016791
124	0.0001861004598
125	0.0001860999271
126	0.000186099359
